,subject,predicate,object,negated,source_quote
196,insured amount of the grantor for each associated account,is the difference between,the grantor’s interests in that account and the uninsured amount calculated based on the steps above,FALSE,The insured amount of the grantor for each associated account is the difference between the grantor’s interests in that account and the uninsured amount calculated based on the steps above.
197,grantor,is,deceased,FALSE,If a grantor is deceased determine if the FDIC’s six-month rule applies.
198,six-month rule,applies,FDIC,FALSE,"If FDIC does, then continue to classify the account as TST."
199,six-month rule,does not apply,grantor’s death,FALSE,"If the six-month rule does not apply, then recognize the grantor’s death for purposes of ORC selection and insurance calculation."
200,TST,is,informal trust,FALSE,If the TST is an informal trust (e.g. POD account) with two grantors.
201,first grantor,dies,TST with one grantor,FALSE,"then after the first grantor dies and the six-month rule expires, treat the account as a TST with one grantor."
202,TST,is,formal trust,FALSE,If the TST is a formal trust with two grantors.
203,Funds associated with that trust account,should be treated as,funds in a single or joint account ORC belonging to the trust grantor(s),FALSE,then Funds associated with that trust account should be treated as funds in a single or joint account ORC belonging to the trust grantor(s) and aggregated and insured with other accounts of the trust grantor(s) in the corresponding ORC.
204,the interest associated with a deceased primary beneficiary,is passed to,other beneficiaries,FALSE,the interest associated with a deceased primary beneficiary is passed to other beneficiaries
205,some primary beneficiaries,are deceased,none,FALSE,some primary beneficiaries are deceased
206,the beneficiary,is ineligible,none,FALSE,If a beneficiary is ineligible
207,informal trust,lists,formal trust,FALSE,Where an informal trust (such as a POD account) lists a formal trust as a beneficiary
208,FDIC,has treated,such accounts as revocable trust accounts,FALSE,the FDIC has treated such accounts as revocable trust accounts under the trust rules
209,FDIC,will insure,deposPOD as a revocable trust account,FALSE,the FDIC will insure the deposPOD as a revocable trust account
210,FDIC,will consider,the beneficiaries of the trust to be the beneficiaries of the POD account,FALSE,the FDIC will consider the beneficiaries of the trust to be the beneficiaries of the POD account
211,ineligible beneficiaries,include,for-profit business entities and pet trusts,FALSE,Examples of ineligible beneficiaries include for-profit business entities and pet trusts
212,ineligible beneficiaries,include,for-profit business entities,FALSE,Examples of ineligible beneficiaries include for -profit business entities and pet trusts.
213,ineligible beneficiary,is reverted to,funds in the SGL right and capacity of the grantor(s),FALSE,the funds associated with an ineligible beneficiary is reverted to funds in the SGL right and capacity of the grantor(s).
214,formal trust,is applicable only if,the owner or co-owners of the deposit account own 100% of the formal revocable trust named as beneficiary,FALSE,This treatment is applicable only if the owner or co -owners of the deposit account own 100% of the formal revocable trust named as beneficiary.
215,account,only names as beneficiary,a formal trust owned in whole or part by someone other than the account holders,FALSE,If the account only names as beneficiary a formal trust owned in whol e or part by someone other than the account holders.
216,natural persons or organizations,will be considered,beneficiaries for purposes of the deposit insurance calculation,FALSE,the natural persons or organizations that receive the trust funds through the future trusts will be considered the beneficiaries for purposes of the deposit insurance calculation
217,account,has no eligible beneficiaries listed,TRUE,FALSE,If the account has no eligible beneficiaries listed
218,each unique combination of grantor and eligible unique primary beneficiary,is entitled to,the SMDIA for each grantor-beneficiary relationship across all deposit accounts eligible for insurance coverage,FALSE,Each unique combination of grantor and eligible unique primary beneficiary is entitled to the SMDIA for each grantor-beneficiary relationship across all deposit accounts eligible for insurance coverage
219,trust accounts,have been processed through,Section 4.1.4.3 Right and Capacity and SMDIA Calculation,FALSE,If all trust accounts have been processed through Section 4.1.4.3 Right and Capacity and SMDIA Calculation
220,grantor,identify,unique primary beneficiaries,FALSE,Identify the grantor and unique primary beneficiaries.
221,grantor,identify,associated eligible unique primary beneficiaries,FALSE,For each grantor identify the associated eligible unique primary beneficiaries.
222,grantor,has,aggregate funds across all trust accounts at the CI eligible for insurance coverage under 12 CFR § 330.10,FALSE,Determine the aggregate funds each grantor has across all trust accounts at the CI eligible for insurance coverage under 12 CFR § 330.10.
223,accounts in the same ORC from the previous calculation,must be aggregated with,newly identified account(s),FALSE,the accounts in the same ORC from the previous calculation must be aggregated with the newly identified account(s).
224,insurance,is calculated by multiplying,"the number of eligible unique beneficiaries times SMDIA, up to a maximum of five beneficiaries",FALSE,"Calculate the insurance by multiplying the number of eligible unique beneficiaries times SMDIA, up to a maximum of five beneficiaries."
225,the total amount of the grantor’s interest,does not exceed,SMDIA times the number of eligible unique beneficiaries,FALSE,If the total amount of the grantor’s interest does not exceed SMDIA times the number of eligible unique beneficiaries (up to a maximum of five beneficiaries)
226,all of the grantor’s trust funds at the CI,are,fully insured,FALSE,then all of the grantor’s trust funds at the CI are fully insured.
227,the total amount of the grantor’s interest,is greater than,"SMDIA times five eligible unique beneficiaries ($1,250,000)",FALSE,"If the total amount of the grantor’s interest is greater than SMDIA times five eligible unique beneficiaries ($1,250,000)"
228,the excess,is,the uninsured amount,FALSE,then the excess is the uninsured amount.
229,there are uninsured funds for the grantor,in,either the TST or other ORC,FALSE,If there are uninsured funds for the grantor in either the TST or other ORC then apply debits.
230,the respective uninsured amount of the grantor,should reflect,the maximum total insured amounts,FALSE,the Account File’s insured and uninsured amounts should reflect the maximum total insured amounts in accordance with the
231,Account File,should reflect,the maximum total insured amounts in accordance with the amended Part 330 rule,FALSE,"The Account File’s insured and uninsured amounts should reflect the maximum total insured amounts in accordance with the amended Part 330 rule, when applicable."
232,Participant File,should list,all unique eligible primary beneficiaries,FALSE,The Participant File should list all unique eligible primary beneficiaries.
233,insured amount of the grantor,is,the difference between the grantor’s interests in that account and the uninsured amount,FALSE,The insured amount of the grantor for each associated account is the difference between the grantor’s interests in that account and the uninsured amount calculated based on the steps above.
234,irrevocable trust account,is,a deposit where the trustee of the irrevocable trust establishes the account in the name of the trust entity,FALSE,An irrevocable trust account (12 CFR § 330.13) is a deposit where the trustee of the irrevocable trust establishes the account in the name of the trust entity.
235,irrevocable,means,that the grantor does not possess the power to terminate or revoke the trust,FALSE,"For the purpose of deposit insurance coverage, irrevocable means that the grantor (person who created the trust) does not possess the power to terminate or revoke the trust."
236,irrevocable trust,may be created by,Written irrevocable trust agreement,FALSE,An irrevocable trust may be created by: a) Written irrevocable trust agreement;
237,irrevocable trust,may be created by,Statute,FALSE,An irrevocable trust may be created by: b) Statute;
238,irrevocable trust,may be created by,Valid court order,FALSE,An irrevocable trust may be created by: c) Valid court order;
239,irrevocable trust,may be created by,Death of one or more grantors of a revocable living trust,FALSE,An irrevocable trust may be created by: d) Death of one or more grantors of a revocable living trust.
240,each beneficiary’s non-contingent interest,is insured,separately up to the SMDIA,FALSE,Each beneficiary’s non-contingent interest is insured separately up to the SMDIA.
241,ownership allocations to beneficiaries,are not stated,assume an equal allocation across non-contingent beneficiaries,FALSE,"If ownership allocations to beneficiaries are not stated, then assume an equal allocation across non-contingent beneficiaries."
242,beneficiary information or information on beneficial interests,is not complete,place the account in the Pending File with the appropriate pending code,FALSE,"If beneficiary information or information on beneficial interests is not complete, then place the account in the Pending File with the appropriate pending code."
243,contingent interests,are insured,in the aggregate up to the SMDIA,FALSE,All contingent interests are insured in the aggregate up to the SMDIA.
244,any interest retained by the grantor,is insured,separately in the appropriate ORC for the grantor or grantors,FALSE,Any interest retained by the grantor is insured separately in the appropriate ORC for the grantor or grantors.
245,total amount of the non -contingent interests at the CI for that combination of grantor and beneficiary,does not exceed,SMDIA,FALSE,"If the total amount of the non -contingent interests at the CI for that combination of grantor and beneficiary does not exceed SMDIA, those interests are fully insured."
246,total amount of the non -contingent interests at the CI for that combination of grantor and beneficiary,exceeds,SMDIA,FALSE,"If the total amount of the non -contingent interests at the CI for that combination of grantor and beneficiary exceeds SMDIA, those interests are not fully insured, and the excess is the uninsured amount."
247,total contingent interest,does not exceed,SMDIA,FALSE,"If the total contingent interest does not exceed SMDIA, the contingent interests are fully insured."
248,total contingent interest,exceeds,SMDIA,FALSE,"If the total contingent interest exceeds SMDIA, the contingent interests at the CI are not fully insured and the excess is the uninsured amount."
249,the grantor’s total funds in the single account right and capacity at the CI,are,fully insured,FALSE,the grantor’s total funds in the single account right and capacity at the CI are fully insured
250,account holder,is identified by,plan administrator,FALSE,Identify the account holder and plan administrator.
251,those funds,should be classified as,DP_Right_Capacity equal to EBP,FALSE,those funds should be classified as DP_Right_Capacity equal to EBP
252,account,is insured as a certain retirement account of,decedent,FALSE,the account is insured as a certain retirement account of the decedent.
253,account ownership,is transferred from,decedent to another individual or entity,FALSE,"If account ownership is transferred from the decedent to another individual or entity, such as a beneficiary"
254,Each account holder,is entitled to,SMDIA,FALSE,Each account holder of a certain retirement account for the combined amount of his or her interest of all certain retirement accounts at the same CI is entitled to SMDIA.
255,certain retirement accounts,is entitled to,SMDIA,FALSE,certain retirement accounts at the same CI is entitled to SMDIA.
256,total balance plus accrued interest allocated to the account holder,does exceed,SMDIA,FALSE,"If the total balance plus accrued interest allocated to the account holder does exceed SMDIA, then funds in excess of SMDIA are not insured."
257,uninsured funds,apply,debits,FALSE,If there are uninsured funds for the account holder then apply debits.
258,uninsured amount,record,to each account associated with the account holder,FALSE,"Based on the above calculation, record the uninsured amount to each account associated with the account holder."
259,insured amount for each individual account,is the difference between,the sum of the current balance and accrued interest and the uninsured amount,FALSE,The insured amount for each individual account is the difference between the sum of the current balance and accrued interest and the uninsured amount.
260,account,meets,FDIC requirements for an employee benefit plan account,FALSE,Determine if an account meets FDIC requirements for an employee benefit plan account.
261,those funds,should be classified as,DP_Right_Capacity equal to CRA,FALSE,then those funds should be classified as DP_Right_Capacity equal to CRA.
262,account,meets the definition of,employee benefit plan account,FALSE,"If the account meets the definition of an employee benefit plan account, then set DP_Right_Capacity equal to EBP."
263,overfunding,is aggregated with,any other funds the employer has in the EBP right and capacity,FALSE,"If there is overfunding of an employee benefit plan, then aggregate the overfunding with any other funds the employer has in the EBP right and capacity."
264,funds in the account,are invested in,"non-deposit products such as stocks, bonds, or other investments",FALSE,"If any funds in the account are invested in non-deposit products such as stocks, bonds, or other investments, then the insurance coverage will not apply."
265,participant identification or their percentage share information,is available,return,FALSE,"If participant identification or their percentage share information is available, then:"
266,aggregate of all non-contingent interests,is insured up to,SMDIA,FALSE,The aggregate of all non -contingent interests for a combination of unique employer accounts and unique plan participants for an employee benefit plan at the same CI is insured up to the SMDIA.
267,aggregate of all contingent interests,is insured up to,SMDIA,FALSE,The aggregate of all contingent interests for an employee benefit plan account at the same CI is insured up to the SMDIA.
268,aggregate of all overfunding,is entitled to,SMDIA,FALSE,The aggregate of all overfunding for an employer for an employee benefit plan account at the same CI is entitled to SMDIA.
269,total balance plus accrued interest,does exceed,SMDIA,FALSE,"If the total balance plus accrued interest does exceed SMDIA, then funds in excess of SMDIA are not insured."
270,there are uninsured funds,for,a plan participant in the EBP right and capacity,FALSE,"If there are uninsured funds for a plan participant in the EBP right and capacity, then apply debits."
271,contingent interests of all plan participants,are aggregated and insured up to,SMDIA,FALSE,"In addition to the coverage afforded to non-contingent interests within the plan, the contingent interests of all plan participants are aggregated and insured up to the SMDIA."
272,deposit account,is owned by,"corporation, partnership, or unincorporated association that is not engaged in independent activity",FALSE,"If the deposit account is owned by a corporation, partnership, or unincorporated association that is not engaged in independent activity, then deposits are considered to be owned by the person(s) who established the account or who own or control the corporation, partnership, or unincorporated association."
273,the account,is,a sole proprietorship or 'doing business as' (DBA) account,FALSE,If the account is a sole proprietorship or “ doing business as ” (DBA) account
274,the funds in the account,are insured as,a single account of the owner,FALSE,the funds in the account are insured as a single account of the owner
275,the deposit account,is owned by,"a corporation, partnership, or unincorporated association",FALSE,"If the deposit account is owned by a corporation, partnership, or unincorporated association engaged in independent activity"
276,"the corporation, partnership, or unincorporated association of a business account",is insured up to,the SMDIA for SMDIA combined amount of principal and accrued interest of all accounts under the BUS right and capacity at the same CI,FALSE,"the corporation, partnership, or unincorporated association of a business account is insured up to the SMDIA for SMDIA combined amount of principal and accrued interest of all accounts under the BUS right and capacity at the same CI"
277,Credit balances on debt accounts,constitute,deposit liabilities,FALSE,Credit balances on debt accounts constitute deposit liabilities
278,the obligor,is liable,and otherwise meet the requirement for a qualifying business account under 12 CFR § 330.11,FALSE,demonstrate that the obligor is liable and otherwise meet the requirement for a qualifying business account under 12 CFR § 330.11
279,the credit balance,should be insured in,the BUS ORC,FALSE,then the credit balance should be insured in the BUS ORC
280,separately incorporated subsidiaries,are insured from,each other,FALSE,separately incorporated subsidiaries engaged in an independent activity are separately insured from each other and from the parent company.
281,separately incorporated subsidiaries,are insured from,the parent company,FALSE,separately incorporated subsidiaries engaged in an independent activity are separately insured from each other and from the parent company.
282,entity,has,"multiple signatories, officers, or partners",FALSE,"Note if an entity has multiple signatories, officers, or partners, then the calculation of deposit insurance is unaffected"
283,insurance calculations,are made at,"the corporation, partnership, and unincorporated association level",FALSE,"insurance calculations are made at the corporation, partnership, and unincorporated association level"
284,funds,are,fully insured,FALSE,"If the total balance plus accrued interest does not exceed SMDIA, then the funds are fully insured."
285,there are uninsured funds,for,"the corporation, partnership, or unincorporated association",FALSE,"If there are uninsured funds for the corporation, partnership, or unincorporated association, then apply debits."
286,uninsured amounts,to each business account,"the corporation, partnership, or unincorporated association",FALSE,"Based on the above calculation, record the uninsured amounts to each business account the corporation, partnership, or unincorporated association has at the CI."
287,insured amount for each individual account,is,the difference between the sum of the current balance and accrued interest and the uninsured amount,FALSE,The insured amount for each individual account is the difference between the sum of the current balance and accrued interest and the uninsured amount.
288,an account,is held by,the Bureau of Indian Affairs on behalf of Native Americans,FALSE,"If an account is held by the Bureau of Indian Affairs on behalf of Native Americans, then see Section 4.1.14 of"
289,account,is held by,Bureau of Indian Affairs,FALSE,If an account is held by the Bureau of Indian Affairs on behalf of Native Americans
290,account,is deposited by,insured depository institution,FALSE,If an account is deposited by an insured depository institution pursuant to the Bank Deposit Financial Assistance Program of the Department of Energy
291,government account official custodians,are unknown,CI,FALSE,If government account official custodians are unknown or if the CI cannot verify if custodians are official
292,account,is held by,official custodian of the United States,FALSE,If an account is held by an official custodian of the United States
293,SMDIA calculation,is equal to,that of government accounts for public units located in the same state as the CI,FALSE,then SMDIA calculation is equal to that of government accounts for public units located in the same state as the CI
294,account,is a,time and savings account,FALSE,"If the account is a time and savings account, not a demand deposit account"
295,official custodian,must have,plenary authority,FALSE,"An official custodian must have plenary authority, including control, over funds owned by the public unit which the custodian is appointed or elected to serve."
296,exercise of authority or control over the funds of a public unit,requires action by,"two or more officers, employees, or agents of such public unit",FALSE,"If the exercise of authority or control over the funds of a public unit requires action by, or the consent of, two or more officers, employees, or agents of such public unit, then they will be treated as one 'official custodian.'"
297,individual,meets,FDIC definition of 'official custodian',FALSE,"Should an individual meet the FDIC definition of 'official custodian' for two different public units, that individual is separately insured for deposits held on behalf of each public unit."
298,accounts,are grouped into,two categories: Demand Deposit Accounts and Time and Savings Accounts,FALSE,"For coverage under the Government Accounts category, accounts are grouped into two categories: Demand Deposit Accounts and Time and Savings Accounts."
299,Demand Deposit Account,is,a deposit that is payable on demand,FALSE,A Demand Deposit Account is a deposit that is payable on demand and for which the depository institution does not reserve the right to require at least seven days written notice of an intended withdrawal.
300,account,is,not held by either an official custodian of a Native American tribe OR an official custodian of the United States,FALSE,If an account is not held by either an official custodian of a Native American tribe OR an official custodian of the United States
301,account,is,time and savings account,FALSE,If an account is held by an official custodian in a CI located in the same state as the public unit and is a time and savings account
302,account,is,demand deposit account,FALSE,If an account is held by an official custodian in a CI located in the same state as the public unit and is a demand deposit account
303,account,is held by,official custodian,FALSE,If an account is held by an official custodian
304,account,is located in,CI located outside the state,FALSE,in a CI located outside the state in which the public unit is located
305,"unique combination of official custodian, public unit, and DP_Right_Capacity",is insured up to,SMDIA for the combined amount of all account interests,FALSE,"Each unique combination of official custodian, public unit, and DP_Right_Capacity (GOV1, GOV2, and GOV3) is insured up to the SMDIA for the combined amount of all account interests at the same CI"
306,government accounts,have been processed through,Section 4.1.9.1 Right and Capacity and SMDIA Calculation,FALSE,If all government accounts have been processed through Section 4.1.9.1 Right and Capacity and SMDIA Calculation
307,"title, position, or office of an official custodian",can be used for,government account calculations,FALSE,"the title, position, or office of an official custodian can be used for government account calculations"
308,uninsured funds,then apply,debits,FALSE,If there are uninsured funds then apply debits.
309,Mortgage servicing accounts,are comprised of,payments by mortgagors of principal and interest,FALSE,"Accounts maintained by a mortgage servicer, in a custodial or other fiduciary capacity, which are comprised of payments by mortgagors of principal and interest"
310,Mortgage servicing accounts,shall be insured for,"the cumulative balance paid into the account by the mortgagors, up to the limit of the SMDIA per mortgagor",FALSE,"shall be insured for the cumulative balance paid into the account by the mortgagors, up to the limit of the SMDIA per mortgagor"
311,Accounts maintained by a mortgage servicer,are comprised of,payments by mortgagors of taxes and insurance premiums,FALSE,"Accounts maintained by a mortgage servicer, in a custodial or other fiduciary capacity, which are comprised of payments by mortgagors of taxes and insurance premiums"
312,mortgagors,make,payments of taxes and insurance premiums,FALSE,payments by mortgagors of taxes and insurance premiums shall be added together
313,mortgage servicer,opens,deposit account for commingled payments of taxes and insurance premiums,FALSE,If the deposit account opened by a mortgage servicer is for deposits representing the commingled payments of taxes and insurance
314,mortgage servicer,opens,deposit account for commingled payments of principal and interest,FALSE,If the deposit account is a deposit account opened by a mortgage servicer for the purpose of holding commingled payments of principal and interest
315,mortgagor,has,total account balance and accrued interest in the mortgage servicing account,FALSE,Identify each unique mortgagor and the total account balance and accrued interest each mortgagor has in the mortgage servicing account
316,identity of mortgagors or share,is not available,MSA is eligible for alternative recordkeeping treatment,FALSE,If the identity of mortgagors or share is not available and the MSA is eligible for alternative recordkeeping treatment
317,mortgagor,has unique combination with,mortgage servicer,FALSE,Identify all unique combinations of mortgage servicer and mortgagor.
318,mortgage servicer,is insured up to,SMDIA,FALSE,Remaining balances not attributable to P&I or T&I are insured to the mortgage servicer up to the SMDIA.
319,mortgage-servicing accounts,have been processed through,Section 4.1.10.1 Right and Capacity and SMDIA Calculation,FALSE,If all mortgage-servicing accounts have been processed through Section 4.1.10.1 Right and Capacity and SMDIA Calculation...
320,total funds of each mortgage servicer,are insured under,Business Account right and capacity,FALSE,Aggregate the remaining balances not attributable to P&I or T&I and insure the total funds of each mortgage servicer under the Business Account right and capacity.
321,mortgage servicing accounts,shall be insured for,the cumulative balance paid into the account by mortgagors,FALSE,"Accounts maintained by a mortgage servicer, in a custodial or other fiduciary capacity, which are comprised of payments of principal and interest, shall be insured for the cumulative balance paid into the account by mortgagors"
322,mortgagors,have principal or interest obligations to,the lender,FALSE,in order to satisfy mortgagors’ principal or interest obligations to the lender
323,mortgagors,are limited by,the SMDIA per mortgagor,FALSE,up to the limit of the SMDIA per mortgagor
324,mortgagor,maintains,accounts,FALSE,"Accounts maintained by a mortgage servicer, in a custodial or other fiduciary capacity, which are comprised of payments by mortgagors of taxes and insurance premiums shall be added together and insured in accordance with paragraph (a) of this section for the ownership interest of each mortgagor in such accounts."
325,mortgage servicer,opens,deposit account,FALSE,"If the deposit account opened by a mortgage servicer is for deposits representing the commingled payments of taxes and insurance (“T&I”) premiums, then confirm that the account is maintained in a custodial or other fiduciary capacity."
326,mortgagor,has,total account balance and accrued interest,FALSE,Identify each unique mortgagor and the total account balance and accrued interest in the mortgage servicing.
327,mortgagors,are,insured up to the SMDIA per borrower,FALSE,Balances attributable to P&I payments in each mortgage servicing account at the same CI are insured up to the SMDIA per borrower.
328,remaining balances not attributable to P&I or T&I,are,insured to the mortgage servicer up to the SMDIA,FALSE,Remaining balances not attributable to P&I or T&I are insured to the mortgage servicer up to the SMDIA.
329,trust fund owner or beneficiary,is entitled to,SMDIA for the combined amount of SMDIA or her interests in all accounts held under each separate trust under the DIT ORC at the CI,FALSE,Each trust fund owner or beneficiary represented is entitled to SMDIA for the combined amount of SMDIA or her interests in all accounts held under each separate trust under the DIT ORC at the CI.
330,trust fund owner,is the owner of,the trust funds held by the depository institution as a trustee for an irrevocable trust,FALSE,The trust fund owner is the owner of the trust funds held by the depository institution as a trustee for an irrevocable trust.
331,trust fund owner,can be,the grantor (for the retained interest) or the beneficiary named in the irrevocable trust document,FALSE,The trust fund owner can be the grantor (for the retained interest) or the beneficiary named in the irrevocable trust document.
332,accounts under the same trust with the same DIT ORC from the previous calculation,must be aggregated with,the newly identified account(s),FALSE,the accounts under the same trust with the same DIT ORC from the previous calculation must be aggregated with the newly identified account(s).
333,account,meets,FDIC requirements for an annuity contract account,FALSE,Determine if an account meets FDIC requirements for an annuity contract account.
334,titling of the annuity contract deposit,reflects,the relationship between the annuitant and the insurance company,FALSE,Confirm the titling of the annuity contract deposit reflects the relationship between the annuitant and the insurance company.
335,the funds held in these ANC accounts,are owned by,the insurance company/corporation,FALSE,"determine whether applicable state law provides that the funds held in these ANC accounts are owned by the insurance company/corporation, or alternatively, by the annuitant."
336,the funds held in these ANC accounts,are owned by,the annuitant,FALSE,"determine whether applicable state law provides that the funds held in these ANC accounts are owned by the insurance company/corporation, or alternatively, by the annuitant."
337,insurance company/corporation,is insured up to,SMDIA,FALSE,Funds attributable to each unique insurance company/corporation –annuitant pair are insured up to the SMDIA;
338,annuitant,is insured up to,SMDIA in the aggregate,FALSE,funds attributable to each unique annuitant are insured up to the SMDIA in the aggregate;
339,funds on deposit at an IDI,are owned by,insurance company/corporation,FALSE,"Generally, funds on deposit at an IDI are owned by the insurance company/corporation."
340,state law,provides that,annuitant is the owner of the funds,FALSE,there may be instances where state law provides that the annuitant is the owner of the funds.
341,all annuity contract accounts,have been processed through,Section 4.1.12.1 Right and Capacity and SMDIA Calculation,FALSE,If all annuity contract accounts have been processed through Section 4.1.12.1 Right and Capacity and SMDIA Calculation or placed in the Pending File
342,account,meets,FDIC requirements for a public bond account,FALSE,Determine if an account meets FDIC requirements for a public bond account
343,account,is entitled to,SMDIA,FALSE,Each unique combination of the bondholder’s beneficial interest in a public bond account and bond issuer at the same CI is entitled to SMDIA
344,uninsured funds,are under,PBA ORC,FALSE,"if there are uninsured funds under the PBA ORC, then apply debits."
345,account,meets,FDIC requirements for a custodian account for American Indians,FALSE,Determine if an account meets FDIC requirements for a custodian account for American Indians
346,account records,indicate,the funds are held by the disbursing agent in an agency capacity,FALSE,The account records indicate the funds are held by the disbursing agent in an agency capacity.
347,disbursing agent,must hold,the funds pursuant to 25 U.S.C. 162a or similar authority,FALSE,The disbursing agent must hold the funds pursuant to 25 U.S.C. 162a or similar authority.
348,disbursing agent,must hold,the funds,FALSE,The disbursing agent must hold the funds pursuant to 25 U.S.C. 162a or similar authority.
349,Native American,must have,an ascertainable interest in the funds,FALSE,The Native American must have an ascertainable interest in the funds.
350,account,represents,the personal deposit of a Native American or Native Americans,FALSE,If the account represents the personal deposit of a Native American or Native Americans and the funds are not held by the BIA...
351,account,represents,accounts held by an official custodian of a Native American tribe,FALSE,If the account represents accounts held by an official custodian of a Native American tribe and the funds are not held by the BIA...
352,account,meets the definition of,a custodian account for Native Americans,FALSE,If the account meets the definition of a custodian account for Native Americans...
353,DP_Right_Capacity,equal to,BIA,FALSE,then set DP_Right_Capacity equal to BIA.
354,Custodian account for American Indians,are insured up to,SMDIA for each Native American for whom the BIA is acting,FALSE,Custodian account s for American Indians are insured up to SMDIA for each Native American for whom the BIA is acting.
355,amount each Native American,is entitled to in,the account,FALSE,Determine the amount each Native American is entitled to in the account.
356,funds,are fully insured,if the amount does not exceed SMDIA,FALSE,"If the amount does not exceed SMDIA, then the funds are fully insured."
357,account,represents,Department deposits of an IDI not pursuant to the Bank Deposit Financial Assistance Program of the Department of Energy,FALSE,"If the account represents t Department deposits of an IDI not pursuant to the Bank Deposit Financial Assistance Program of the Department of Energy, then see Section 4.1.8 for insuran ce calculation for the Business Accounts."
358,account,meets,the definition of an account of an IDI pursuant to the Bank Deposit Financial Assistance Program,FALSE,If the account meets the definition of an account of an IDI pursuant to the Bank Deposit Financial Assistance Program
359,account,meets the definition of,an account of an IDI pursuant to the Bank Deposit Financial Assistance Program of the Department of Energy at the CI,FALSE,If the account meets the definition of an account of an IDI pursuant to the Bank Deposit Financial Assistance Program of the Department of Energy at the CI
360,Each IDI,is entitled to,SMDIA for the combined amount of IDI deposits in all accounts under the DOE ORC at the same CI,FALSE,Each IDI is entitled to SMDIA for the combined amount of IDI deposits in all accounts under the DOE ORC at the same CI
361,the beneficial owner’s interest,should be aggregated under,the BIA ORC,FALSE,"When the same Native American is the beneficial owner on multiple BIA accounts, then the beneficial owner’s interest in those multiple BIA accounts should be aggregated under the BIA ORC"
362,the combined beneficial ownership interest of each Native American,is insured up to,SMDIA,FALSE,"Under the BIA ORC, the combined beneficial ownership interest of each Native American is insured up to SMDIA"
363,each Native American,is separately insured for any deposits,"American hold in SGL, JNT, or other ORC",FALSE,"At the same bank, each Native American is separately insured for any deposits American hold in SGL, JNT, or other ORC"
364,there,is no aggregation between,BIA and non-BIA accounts,FALSE,There is no aggregation between BIA and non-BIA accounts
365,BIA accounts,are not aggregated with,non-BIA accounts,FALSE,There is no aggregation between BIA and non- BIA accounts
366,C I’s system,could be capable of allocating,uninsured funds among accounts,FALSE,The C I’s system could be capable of allocating uninsured funds among accounts if the depositor has more than one account at the C I.
367,FDIC,has developed,an order of allocating uninsured funds,FALSE,FDIC has developed an order of allocating uninsured funds when debiting the uninsured funds to reduce the burden and disruption of pending transactions to depositors that might have accounts that need adjustment based on the Allocation of Uninsured Funds.
368,the uninsured amount,is applied based on,the account product type,FALSE,"Under this practice, the uninsured amount is applied based on the account product type in the following order of allocation: CDS, SAV, MMA, NOW, and DDA."
369,joint account,is not titled to,trust,FALSE,"If an account is joint and not titled to a trust, uninsured amounts are debited on a pro-rata basis based on the co-owner’s share percentage regardless of the account product type."
370,pro-rata uninsured application,is used for,joint accounts,FALSE,The pro rata uninsured application is used for joint accounts to ensure a fully insured joint owner is not disproportionately affected.
371,uninsured amounts,are first debited from,formal trusts,FALSE,"For trust accounts, uninsured amounts are first debited from formal trusts and subsequent debits are then applied to informal trust accounts (In Trust For or Payable on Death)."
372,subsequent debits,are then applied to,informal trust accounts,FALSE,"For trust accounts, uninsured amounts are first debited from formal trusts and subsequent debits are then applied to informal trust accounts (In Trust For or Payable on Death)."
373,trust account category,allows for,accounts to have a single owner or multiple owners,FALSE,"Even if a trust account (formal or informal) might end up being a jointly owned account, it follows the suggested debiting order because the trust account category allows for accounts to have a single owner or multiple owners."
374,uninsured amount,is debited from,highest balance,FALSE,the uninsured amount is debited first from the highest balance where the account type is the same.
375,balances,are the same,lowest account number,FALSE,"If the balances are the same, then the lowest account number is levied first."
376,uninsured funds,could be debited from,accounts,FALSE,unin s ured funds could be debited from accounts in the following order to minimize the impact on depositors:
377,depositor,has,only one uninsured account,FALSE,"If a depositor has only one uninsured account, the calculation of the debit amount is simply subtracting the insured amount from the total balance (principal plus accrued interest)."
378,FDIC staff or an acquiring institution,will calculate,accrued interest,FALSE,"the FDIC staff or an acquiring institution, as applicable, will calculate the accrued interest based on the CI’s records or through the servicer’s records"
379,Account Participant File,linked to,Account File,FALSE,"The Account Participant File is linked to the Account File by the CS_Unique_ID, the DP_Right_Capacity, and the DP_Acct_Identifier."
380,account represented in the Account File,should have,corresponding customer record in the Customer File,FALSE,Each account represented in the Account File or the Account Participant File should have a corresponding customer record in the Customer File.
381,account represented on the Account Participant File,should have,corresponding account on the Account File,FALSE,Each account represented on the Account Participant File should have a corresponding account on the Account File.
382,Account Participant that is also a Customer of the CI,should have,same AP_Participant_ID as Customer CS_Unique_ID at the CI,FALSE,Each Account Participant that is also a Customer of the CI should have the same AP_Participant_ID as Customer CS_Unique_ID at the CI.
383,John Doe,has,3 deposit accounts,FALSE,"John Doe , with CS _Unqiue _ID as 111111111 , has 3 deposit accounts  at a Covered Institution :"
384,John Doe,has,A single Account – Account Title “John Joe ”,FALSE,1. A single Account – Account Title “John Joe ”
385,John Doe,has,A Joint Account with John wife – Account Title “John Doe and Jane Doe ”,FALSE,2. A Joint Account with John wife – Account Title “John Doe and Jane Doe ”
